Code,Title,Description
record,Record,A record object
release,Release,A release object
record_list,Record List,An array of records
release_list,Release List,An array of releases
compiled_release,Compiled Release,A compiled release
record_package,Record Package,A record package
release_package,Release Package,A release package
record_package_list,Record Package List,An array of record packages
release_package_list,Release Package List,An array of release packages
record_package_list_in_results,Record Package List in Results,An array of record packages inside a results field
release_package_list_in_results,Release Package List in Results,An array of release packages inside a results field
release_package_json_lines,Release Package Json Lines,A json lines file with release packages
record_package_json_lines,Record Package Json Lines,A json lines file with record packages
release_package_in_ocdsReleasePackage_in_list_in_results,Release Package in ocdsReleasePackage in List in Results,A release package inside a ocdsReleasePackage object inside a results array
release_in_Release,Release in Release,A release in a Release object
